ID,Name,Model,Professional,HouseName,Tradable,StartWork,EndWork,Speack,Attack,AttackSpeed,RunSpeed,Health,Brutal,Price
1,乔治,George,人才招募负责人,BuildingAT10,否,9,17,你好,100,0.3,8,3000,70,
2,卡萨,Kassa,铁匠,BuildingAT14,否,9,16,你好,100,0.3,8,3000,70,
3,露露,Lulu,水果店老板,BuildingAT39,否,9,17,你好,100,0.3,8,3000,70,
4,尼克,Nick,鱼店老板,BuildingAT41,否,9,17,你好,100,0.3,8,3000,70,
5,罗宾,Robin,牧场老板,BuildingAT45,否,9,17,你好,100,0.3,8,3000,70,
6,班尼,Banney,杂货铺老板,BuildingAT09,否,9,17,你好,100,0.3,8,3000,70,
7,埃瑞克,Eric,小镇居民,BuildingAT28,否,10,15,你好,80,0.3,8,2000,55,
8,妮可,Nicole,小镇居民,BuildingAT08,否,9,20,你好,80,0.3,8,2000,55,
9,库克,Cook,小镇居民,BuildingAT19,否,8,19,你好,80,0.3,8,2000,55,
10,苏鲁,Suru,小镇居民,BuildingAT40,否,9,20,你好,80,0.3,8,2000,55,
11,玲玲,Lingling,小镇居民,BuildingAT19,否,7,15,你好,80,0.3,8,2000,55,
12,艾玛,Emma,小镇居民,BuildingAT18,否,10,21,你好,80,0.3,8,2000,55,
13,杰西,Jiessie,猎人,BuildingAT10,是,6,12,你好,110,0.3,8,5000,40,10000
14,安娜,Anna,猎人,BuildingAT10,是,10,16,你好,130,0.3,8,5000,40,11000
15,贝克,Beck,猎人,BuildingAT10,是,14,18,你好,150,0.3,8,5000,40,12000
16,艾米,Amy,猎人,BuildingAT10,是,17,20,你好,170,0.3,8,5000,40,13000
17,莎拉,Sarah,猎人,BuildingAT10,是,19,1,你好,190,0.3,8,5000,40,14000
18,安德鲁,Andrew,猎人,BuildingAT10,是,0,7,你好,210,0.3,8,5000,40,15000
19,乔伊斯,Joyce,农夫,BuildingAT10,是,5,10,你好,70,0.3,8,4000,40,10000
20,罗杰,Roger,农夫,BuildingAT10,是,9,13,你好,80,0.3,8,4000,40,11000
21,亚纶,Aaron,农夫,BuildingAT10,是,11,18,你好,90,0.3,8,4000,40,12000
22,兰迪,Randy,农夫,BuildingAT10,是,13,19,你好,100,0.3,8,4000,40,13000
23,凯利,Kelly,农夫,BuildingAT10,是,16,0,你好,110,0.3,8,4000,40,14000
24,丹尼特,Dennett,农夫,BuildingAT10,是,20,3,你好,120,0.3,8,4000,40,15000
25,亚历克斯,Alex,农夫,BuildingAT10,是,1,6,你好,130,0.3,8,4000,40,16000
