ID,Name,Picture,Modle,Info,Overlay,MinGet,MaxGet,BuyPrice,SalePrice
1001,鸡蛋,Crop_B_256_042,,这是一只鸡下的蛋,99,1,1,,300
1002,牛奶,Crop_B_256_084,,它富含丰富的蛋白质,99,1,1,,400
1003,黄油,Crop_B_256_087,,营养丰富但含脂量很高,99,1,1,,500
1004,奶酪,Crop_B_256_088,,是一种发酵的奶制品，味道香浓,99,1,1,,600
1005,松露,Crop_B_256_036,,含有特殊的气味,99,1,1,,700
1006,栗子,Crop_B_256_070,,果实味道鲜美，风味独特，粉质细腻,99,1,1,,800
1007,花生,Crop_B_256_110,,食用广泛的一种坚果,99,1,1,,900
1008,浆果,Crop_B_256_059,,一种有红色果实的特殊浆果,99,1,1,,1000
1009,草莓,Crop_B_256_002,SM_Prop_Plant_Strawberry_01,营养丰富酸甜可口的红色果实,99,2,5,300,150
1010,小麦,Crop_B_256_075,SM_Prop_Plant_Wheat_02,被广泛种植的谷物之一,99,2,5,400,200
1011,萝卜,Crop_B_256_021,SM_Prop_Carrot_01_L,一种脆嫩多汁的根状蔬菜,99,2,5,500,250
1012,土豆,Crop_B_256_022,SM_Prop_Potato_01,一种广泛种植的块茎,99,2,5,600,300
1013,南瓜,Crop_B_256_035,SM_Prop_Pumpkin_01_L,因果肉甜美深受人们喜爱,99,2,5,700,350
1014,西红柿,Crop_B_256_001,SM_Prop_Plant_Bush_02_Tomato,营养丰富，酸甜可口,99,2,5,800,400
1015,玉米,Crop_B_256_041,SM_Prop_Plant_Corn_01,一种优质的粮食作物,99,2,5,900,450
1016,茶叶,Crop_B_256_016,SM_Prop_Hemp_01_L,可冲泡成茶水,99,2,5,1000,500
1017,西兰花,Crop_B_256_028,SM_Prop_Broccoli_01_L,像一团绿色的花球，营养丰富,99,2,5,1100,550
1018,西瓜,Crop_B_256_005,SM_Prop_Watermelon_01_L,绿色果皮包裹着，香甜多汁的红色果肉,99,2,5,1200,600
1019,卷心菜,Crop_B_256_029,SM_Prop_Cabbage_01_L,被叶片层层包裹成球状的蔬菜,99,2,5,1300,650
1020,辣椒,Crop_B_256_024,SM_Prop_Plant_Bush_03_Chilli,红色的辛辣果实,99,2,5,1400,700
1021,洋葱,Crop_B_256_033,SM_Prop_Onion_01_M,果肉呈鳞片状，辛辣中带有甘甜,99,2,5,1500,750
